Exp,Rep,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Oil,Surfactant,Cosurfactant,API_Name,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability
E2,2,8.325,18.5,21.5,2.025,Capryol_90,Tween_20,Transcutol_HP,blank,14.98,0.321,-6.57,0,,
E3,2,20.625,10,30,2.325,Oleic_Acid,Tween_20,Tween_80,blank,10000,1,100,1,,
E4,2,7.875,22.3,17.7,1.875,Capryol_90,Tween_80,Propylene_Glycol,blank,116.9,0.422,-2.35,0,,
E5,2,7.875,16.5,23.5,2.925,Capmul_MCM,Tween_80,Transcutol_HP,blank,115.53,0.307,-2.89,0,,
E1,3,7.875,15,25,2.025,Maisine_Oil,Tween_80,Propylene_Glycol,blank,10000,1,100,1,,
E2,3,8.325,18.5,21.5,2.025,Capryol_90,Tween_20,Transcutol_HP,blank,11.27,0.147,-4.05,0,,
E3,3,20.625,10,30,2.325,Oleic_Acid,Tween_20,Tween_80,blank,10000,1,100,1,,
E4,3,7.875,22.3,17.7,1.875,Capryol_90,Tween_80,Propylene_Glycol,blank,96.84,0.506,-2.6,0,,
E5,3,7.875,16.5,23.5,2.925,Capmul_MCM,Tween_80,Transcutol_HP,blank,111.33,0.392,-3.35,0,,
B4_A,1,8.25,17,23,1.65,Capryol_90,Tween_20,Ethanol,A190,25.79666667,0.297666667,-3.636666667,0,110.7866667,1.74E-05
E2_A,1,8.325,18.5,21.5,2.025,Capryol_90,Tween_20,Transcutol_HP,A190,121.1666667,0.150333333,-2.226666667,0,96.49666667,2.34E-05
F5_A,1,10,20,20,2,Capryol_90,Tween_20,PEG_400,A190,149.9666667,0.247666667,-2.743333333,0,98.48,2.42E-05
B4_F,1,8.25,17,23,1.65,Capryol_90,Tween_20,Ethanol,Feno,171.5666667,0.296666667,-2.536666667,0,101.0233333,9.02E-06
E2_F,1,8.325,18.5,21.5,2.025,Capryol_90,Tween_20,Transcutol_HP,Feno,12.18333333,0.179333333,-3.433333333,0,92.74333333,1.69E-05
F5_F,1,10,20,20,2,Capryol_90,Tween_20,PEG_400,Feno,193.9,0.489,-3.116666667,0,100.2566667,1.51E-05
A-A1,R1,8.325,20,19.375,1.98,Capryol_90,Tween_20,Transcutol_HP,A190,19.26333333,0.289333333,-3.183333333,0,97.41,1.66E-05
A-A2,R1,8.0625,40,8.125,1.98,Capryol_90,Tween_20,Ethanol,A190,9.602,0.106333333,-3.553333333,0,117.3933333,3.59E-05
A-A3,R1,8.0625,24.25,15,1.995,Capryol_90,Tween_20,Propylene_Glycol,A190,23.68666667,0.416666667,-3.223333333,0,124.9833333,1.85E-05
A-A4,R1,7.1875,20,19.375,2.025,Capryol_90,Tween_80,Transcutol_HP,A190,78.64333333,0.462333333,-2.686666667,0,126.63,9.51E-06
A-A5,R1,5.35,24.25,15.625,2.025,Maisine_Oil,Tween_20,Transcutol_HP,A190,13.77333333,0.17,-3.23,0,108.3933333,1.71E-05
A-A1,R2,8.325,20,19.375,1.98,Capryol_90,Tween_20,Transcutol_HP,A190,14.58666667,0.351666667,-3.313333333,0,94.49,1.87E-05
A-A2,R2,8.0625,40,8.125,1.98,Capryol_90,Tween_20,Ethanol,A190,10.65333333,0.226666667,-2.986666667,0,85.43666667,2.05E-05
A-A3,R2,8.0625,24.25,15,1.995,Capryol_90,Tween_20,Propylene_Glycol,A190,14.23666667,0.317333333,-3.26,0,113.18,2.16E-05
A-A4,R2,7.1875,20,19.375,2.025,Capryol_90,Tween_80,Transcutol_HP,A190,82.35333333,0.497333333,-2.866666667,0,98.93333333,1.32E-05
A-A5,R2,5.35,24.25,15.625,2.025,Maisine_Oil,Tween_20,Transcutol_HP,A190,13.34333333,0.084666667,-3.213333333,0,106.3066667,1.12E-05
A-A1,R3,8.325,20,19.375,1.98,Capryol_90,Tween_20,Transcutol_HP,A190,37.08,0.549,-2.626666667,0,92.45333333,2.74E-05
A-A2,R3,8.0625,40,8.125,1.98,Capryol_90,Tween_20,Ethanol,A190,10.15333333,0.143666667,-2.696666667,0,111.69,2.92E-05
A-A3,R3,8.0625,24.25,15,1.995,Capryol_90,Tween_20,Propylene_Glycol,A190,17.4,0.533333333,-2.633333333,0,118.5933333,2.36E-05
A-A4,R3,7.1875,20,19.375,2.025,Capryol_90,Tween_80,Transcutol_HP,A190,100.3466667,0.377333333,-2.406666667,0,102.3933333,1.30E-05
A-A5,R3,5.35,24.25,15.625,2.025,Maisine_Oil,Tween_20,Transcutol_HP,A190,13.73,0.095,-3.123333333,0,103.16,1.73E-05
A-B1,R1,7.62,25.45,15,2,Capmul_MCM,Tween_80,Transcutol_HP,A190,63.28333333,0.645,-3.463333333,0,107.9233333,1.49E-05
A-B2,R1,14.98,20,14.38,2.1,Capryol_90,Tween_20,Propylene_Glycol,A190,10000,1,100,1,0,0
A-B3,R1,5.79,21.25,19.38,2.3,Capryol_90,Tween_20,Transcutol_HP,A190,15.8,0.526666667,-3.106666667,0,108.07,1.94E-05
A-B4,R1,8.24,25.3,18.5,2.1,Capmul_MCM,Tween_20,PEG_400,A190,12.33333333,0.216,-3.793333333,0,105.9766667,2.20E-05
A-B5,R1,5.26,23.05,15.88,2.5,Maisine_Oil,Tween_20,Transcutol_HP,A190,14.16666667,0.156,-3.673333333,0,99.54333333,2.37E-05
A-B1,R2,7.62,25.45,15,2,Capmul_MCM,Tween_80,Transcutol_HP,A190,64.76333333,0.633666667,-2.57,0,107.85,1.44E-05
A-B2,R2,14.98,20,14.38,2.1,Capryol_90,Tween_20,Propylene_Glycol,A190,10000,1,100,1,0,0
A-B3,R2,5.79,21.25,19.38,2.3,Capryol_90,Tween_20,Transcutol_HP,A190,21.46666667,0.59,-2.143333333,0,110.9533333,2.00E-05
A-B4,R2,8.24,25.3,18.5,2.1,Capmul_MCM,Tween_20,PEG_400,A190,11.80666667,0.124333333,-4.546666667,0,111.7566667,3.36E-05
A-B5,R2,5.26,23.05,15.88,2.5,Maisine_Oil,Tween_20,Transcutol_HP,A190,15.28666667,0.243666667,-3.22,0,110.81,1.58E-05
A-B1,R3,7.62,25.45,15,2,Capmul_MCM,Tween_80,Transcutol_HP,A190,52.91333333,0.678333333,-2.536666667,0,110.9,1.29E-05
A-B2,R3,14.98,20,14.38,2.1,Capryol_90,Tween_20,Propylene_Glycol,A190,10000,1,100,1,0,0
A-B3,R3,5.79,21.25,19.38,2.3,Capryol_90,Tween_20,Transcutol_HP,A190,22.43333333,0.558666667,-3.456666667,0,108.19,1.78E-05
A-B4,R3,8.24,25.3,18.5,2.1,Capmul_MCM,Tween_20,PEG_400,A190,11.11333333,0.144333333,-2.63,0,100.6633333,2.02E-05
A-B5,R3,5.26,23.05,15.88,2.5,Maisine_Oil,Tween_20,Transcutol_HP,A190,13.88333333,0.142333333,-2.993333333,0,102.0433333,2.66E-05
A-C1,R1,5.26,20.95,14.88,2.6,Maisine_Oil,Tween_20,Propylene_Glycol,A190,10000,1,100,1,0,0
A-C2,R1,5.18,24.25,14.88,2.5,Maisine_Oil,Tween_20,Ethanol,A190,25.01666667,0.732,-3.55,0,106.9966667,2.35E-05
A-C3,R1,5,23.95,14.5,2.6,Maisine_Oil,Tween_20,Ethanol,A190,13.58333333,0.166333333,-2.736666667,0,116.8966667,3.17E-05
A-C4,R1,5,21.1,14.5,2.6,Maisine_Oil,Tween_20,Propylene_Glycol,A190,10000,1,100,1,0,0
A-C5,R1,5.18,20.65,14.38,3,Capmul_MCM,Tween_20,Propylene_Glycol,A190,12.25333333,0.25,-3.726666667,0,109.18,3.33E-05
A-C1,R2,5.26,20.95,14.88,2.6,Maisine_Oil,Tween_20,Propylene_Glycol,A190,10000,1,100,1,0,0
A-C2,R2,5.18,24.25,14.88,2.5,Maisine_Oil,Tween_20,Ethanol,A190,29.75,0.823333333,-3.7,0,114.8233333,2.67E-05
A-C3,R2,5,23.95,14.5,2.6,Maisine_Oil,Tween_20,Ethanol,A190,13.75,0.178,-3.71,0,113.95,2.71E-05
A-C4,R2,5,21.1,14.5,2.6,Maisine_Oil,Tween_20,Propylene_Glycol,A190,10000,1,100,1,0,0
A-C5,R2,5.18,20.65,14.38,3,Capmul_MCM,Tween_20,Propylene_Glycol,A190,11.99,0.244666667,-3.876666667,0,98.36,2.52E-05
A-C1,R3,5.26,20.95,14.88,2.6,Maisine_Oil,Tween_20,Propylene_Glycol,A190,10000,1,100,1,0,0
A-C2,R3,5.18,24.25,14.88,2.5,Maisine_Oil,Tween_20,Ethanol,A190,23.37,0.65,-3.24,0,117.4166667,2.30E-05
A-C3,R3,5,23.95,14.5,2.6,Maisine_Oil,Tween_20,Ethanol,A190,13.05333333,0.165333333,-3.573333333,0,116.2666667,2.35E-05
