Exp,Rep,Oil,Surfactant,Cosurfactant,API_Name,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability,size_score (w=3),pdi_score  (w=2),zeta_score (w=1),dl_score   (w=2),perm_score (w=3),formulation_loss,stability_factor,objective
F-B4,R2,Capryol_90,Tween_80,Propylene_Glycol,Feno,7.19,27.4,13.5,1.7,156.4333333,0.359333333,-2.29,0,103.4233333,1.07e-05,0.06270370366666665,0.2881481477777777,0.0,0.026333333076923045,0.4650000000000001,2.2120740727094015,1.0,2.2120740727094015
A-C2,R2,Maisine_Oil,Tween_20,Ethanol,A190,5.18,24.25,14.88,2.5,29.75,0.823333333,-3.7,0,114.8233333,2.67e-05,0.0,0.8037037033333333,0.0,0.41628205000000007,-0.06699999999999996,2.2389715066666667,1.0,2.2389715066666667
A-B1,R1,Capmul_MCM,Tween_80,Transcutol_HP,A190,7.62,25.45,15.0,2.0,63.28333333,0.645,-3.463333333,0,107.9233333,1.49e-05,0.0,0.6055555555555556,0.0,0.15089743461538446,0.25500000000000006,2.27790598034188,1.0,2.27790598034188
F-A1,R2,Capryol_90,Tween_20,Ethanol,Feno,8.0625,20.0,15.0,2.295,11.43666667,0.226333333,-1.653333333,0,98.66333333,6.64e-06,0.0,0.14037037,0.0,0.010282051307692304,0.668,2.3053048426153846,1.0,2.3053048426153846
A-B1,R2,Capmul_MCM,Tween_80,Transcutol_HP,A190,7.62,25.45,15.0,2.0,64.76333333,0.633666667,-2.57,0,107.85,1.44e-05,0.0,0.5929629633333333,0.0,0.14807692307692286,0.2800000000000001,2.322079772820513,1.0,2.322079772820513
B4_F,1,Capryol_90,Tween_20,Ethanol,Feno,8.25,17.0,23.0,1.65,171.5666667,0.296666667,-2.536666667,0,101.0233333,9.02e-06,0.07951851855555557,0.21851851888888887,0.0,0.00787179461538465,0.549,2.338336182675214,1.0,2.338336182675214
F-C2,R3,Capmul_MCM,Tween_20,Transcutol_HP,Feno,5.18,20.05,10.12,0.1,13.95666667,0.344333333,-3.86,0,87.43,1.23e-05,0.0,0.27148148111111114,0.0,0.3296153846153843,0.385,2.357193731452991,1.0,2.357193731452991
F-A1,R1,Capryol_90,Tween_20,Ethanol,Feno,8.0625,20.0,15.0,2.295,11.29666667,0.170333333,-2.833333333,0,94.75333333,5.3e-06,0.0,0.07814814777777777,0.0,0.047948718076922935,0.735,2.4571937317094017,1.0,2.4571937317094017
F-B2,R2,Capmul_MCM,Tween_20,PEG_400,Feno,8.06,27.25,5.5,1.7,11.24,0.146666667,-2.563333333,0,115.94,1.03e-05,0.0,0.05185185222222222,0.0,0.4592307692307691,0.48500000000000004,2.4771652429059827,1.0,2.4771652429059827
B4_F,2,Capryol_90,Tween_20,Ethanol,Feno,8.25,17.0,23.0,1.65,216.5,0.373666667,-3.443333333,0,96.54973078,1.03e-05,0.12944444444444445,0.3040740744444444,0.0,0.026540532461538428,0.48500000000000004,2.504562547145299,1.0,2.504562547145299
A-A3,R1,Capryol_90,Tween_20,Propylene_Glycol,A190,8.0625,24.25,15.0,1.995,23.68666667,0.416666667,-3.223333333,0,124.9833333,1.85e-05,0.0,0.3518518522222222,0.0,0.8070512807692307,0.07500000000000012,2.5428062659829065,1.0,2.5428062659829065
F-A3,R3,Capryol_90,Tween_20,PEG_400,Feno,8.0625,20.0,11.75,2.31,11.52333333,0.182666667,-3.2,0,113.0166667,8.76e-06,0.0,0.09185185222222222,0.0,0.34679487307692314,0.5619999999999999,2.563293450598291,1.0,2.563293450598291
F-A2,R3,Capryol_90,Tween_20,Transcutol_HP,Feno,8.325,20.0,19.375,2.25,21.71,0.721,-2.91,0,86.23333333,1.7e-05,0.0,0.69,0.0,0.375641025769231,0.15000000000000008,2.5812820515384622,1.0,2.5812820515384622
F-C2,R2,Capmul_MCM,Tween_20,Transcutol_HP,Feno,5.18,20.05,10.12,0.1,18.24,0.573666667,-2.836666667,0,98.11333333,9.98e-06,0.0,0.5262962966666667,0.0,0.014512820538461514,0.5010000000000001,2.5846182344102564,1.0,2.5846182344102564
F-B4,R3,Capryol_90,Tween_80,Propylene_Glycol,Feno,7.19,27.4,13.5,1.7,106.5,0.569,-3.453333333,0,95.13,9.93e-06,0.007222222222222222,0.5211111111111111,0.0,0.0374615384615385,0.5035000000000001,2.6493119658119664,1.0,2.6493119658119664
F-A4,R2,Capryol_90,Tween_80,Transcutol_HP,Feno,7.1875,20.0,15.625,2.4,117.1,0.325666667,-3.326666667,0,92.38333333,7.29e-06,0.018999999999999993,0.2507407411111111,0.0,0.13910256423076928,0.6355000000000001,2.743186610683761,1.0,2.743186610683761
F-A2,R2,Capryol_90,Tween_20,Transcutol_HP,Feno,8.325,20.0,19.375,2.25,14.80333333,0.468666667,-2.853333333,0,88.96,1.03e-05,0.0,0.4096296299999999,0.0,0.270769230769231,0.48500000000000004,2.8157977215384618,1.0,2.8157977215384618
F-A4,R1,Capryol_90,Tween_80,Transcutol_HP,Feno,7.1875,20.0,15.625,2.4,103.7766667,0.423666667,-2.743333333,0,98.36666667,6.25e-06,0.004196296333333341,0.35962963000000003,0.0,0.012564102538461533,0.6875,2.819476354076923,1.0,2.819476354076923
A-B1,R3,Capmul_MCM,Tween_80,Transcutol_HP,A190,7.62,25.45,15.0,2.0,52.91333333,0.678333333,-2.536666667,0,110.9,1.29e-05,0.0,0.6425925922222222,0.0,0.2653846153846156,0.35500000000000004,2.880954415213676,1.0,2.880954415213676
F-A4,R3,Capryol_90,Tween_80,Transcutol_HP,Feno,7.1875,20.0,15.625,2.4,119.5666667,0.390333333,-2.183333333,0,87.78333333,6.56e-06,0.021740740777777778,0.3225925922222222,0.0,0.316025641153846,0.672,3.3584586890854697,1.0,3.3584586890854697
F-A3,R1,Capryol_90,Tween_20,PEG_400,Feno,8.0625,20.0,11.75,2.31,11.45666667,0.163666667,-4.226666667,0,76.66333333,4.37e-06,0.0,0.07074074111111109,0.0,0.7437179488461538,0.7815,3.9734173799145296,1.0,3.9734173799145296
